性能分析详细报告
================================================================================

按累积时间排序:
----------------------------------------
         259480761 function calls (259154600 primitive calls) in 716.733 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1313(TraCISignalConstraint)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1349(TraCIJunctionFoe)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2015(edge)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1141(TraCINextStopData)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1043(TraCIConnection)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:859(TraCIPhase)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2413(inductionloop)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1184(TraCIBestLanesData)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2579(junction)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2689(lanearea)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2867(lane)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3113(multientryexit)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3255(poi)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2243(gui)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4015(trafficlight)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4782(vehicletype)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3563(route)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3669(simulation)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5859(person)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:6273(calibrator)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:6423(busstop)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:6549(parkingarea)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:6675(chargingstation)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:6825(overheadwire)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:7037(meandata)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:7131(variablespeedsign)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:7229(routeprobe)
        1    0.000    0.000    0.000    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5084(vehicle)
